Project;repoPushed;solcVersion;hasTestDir;testScript;compile;migrate;test;pass;fail
CYBRToken/simple-shared-wallet;2019-06-18T09:00:16Z;0.4.21;true;true;true;true;true;33;0;
maxsam4/try-catch-solidity;2019-06-11T05:33:32Z;^0.5.0;true;;true;true;true;2;0;
clemlak/SnowflakeInvoicing;2019-03-16T15:34:41Z;^0.5.0;true;true;true;true;true;33;50;
Luiserebii/HydroSnowflake-Marketplace-Coupons;2019-07-04T08:59:57Z;^0.5.2;true;true;true;true;true;32;47;
brenj/real-estate-marketplace;2019-06-07T04:12:25Z;0.5.0;true;true;true;true;true;10;0;
arsenyjin/blocklords-loom/truffle-deployment;2019-07-12T10:33:14Z;^0.4.23;true;true;false;;;;;
NoahZinsmeister/snowflake-demo-smart-contracts;2019-02-20T22:30:13Z;^0.5.0;true;true;true;false;;;;
MercXue/QTM-Token;2019-07-11T19:57:22Z;^0.5.10;true;true;true;true;true;10;4;
finwhalex/Smart-Contracts;2019-07-10T11:08:09Z;^0.5.10;true;true;true;false;;;;
convergentcx/liquid;2019-02-14T12:42:24Z;0.4.24;true;true;true;true;true;5;0;
godappslab/token-transfer;2019-03-29T03:20:53Z;^0.5.0;true;false;false;;;;;
MyWishPlatform/swaps2;2019-06-13T15:45:51Z;0.4.21;true;true;true;true;true;10;0;
clutchydsb/Miner-Registration;2019-04-20T10:35:48Z;^0.5.0;true;;true;true;false;;;
cointelligence-official/asset-holder;2019-06-22T20:03:48Z;0.4.21;true;false;true;true;true;0;0;
decentraland/avatars-contract;2019-07-07T16:05:32Z;0.5.2;true;true;true;true;true;0;1;
yingliqiao/camx-ethereum;2019-01-25T02:52:38Z;0.4.21;true;;true;true;false;;;
xcryptclub/xCryptToken;2019-06-01T18:57:47Z;^0.4.24;true;true;false;;;;;
swaps-network/swaps2;2019-06-13T15:46:17Z;0.4.21;true;true;true;true;true;10;0;
mtxset/coineru;2019-01-09T09:56:22Z;^0.4.24;true;true;false;;;;;
dappisland/HedgeFund;2019-07-13T11:29:20Z;^0.5.7;true;true;true;true;true;1;0;
Onther-Tech/plasma-evm-api-server;2019-07-09T07:34:21Z;^0.4.24;true;true;true;true;false;;;
Onther-Tech/requestable-erc20-wrapper-token;2019-07-11T09:38:42Z;^0.5.0;true;true;true;true;false;;;
hav-noms/final-project-hav-noms;2019-01-30T07:21:11Z;^0.5.0;true;true;true;true;true;43;0;
quadnetwork/aragonOS;2019-01-04T17:28:09Z;0.4.24;true;true;true;true;true;27;20;
HydroBlockchain/snowmo-contracts;2019-06-24T17:31:04Z;^0.5.0;true;true;true;false;;;;
PegaSysEng/aiakos-contracts;2019-06-20T09:34:08Z;^0.5.0;true;;true;true;true;7;0;
KMPARDS/EraSwapSmartContracts/Eraswap;2019-07-10T09:49:17Z;^0.4.24;true;true;false;;;;;
k06a/Blockhashes;2019-05-17T12:25:02Z;^0.5.0;true;true;true;true;true;1;0;
alpersonalwebsite/erc721-smart-contract/smart_contracts;2019-07-11T22:24:42Z;^0.4.24;true;false;false;;;;;
canufeel/shamir-sol;2019-07-08T09:20:28Z;0.5.7;true;false;false;;;;;
worldofatlantis/crowdsale;2019-03-02T20:56:25Z;^0.5.4;true;true;true;true;true;2;0;
draych/barabah/MasterCode_VideoRemixTutorial/tutorial-22;2019-03-04T01:22:26Z;^0.4.17;true;;true;false;;;;
draych/barabah/MasterCode_VideoRemixTutorial/tutorial-26;2019-03-04T01:22:26Z;^0.4.17;true;;true;true;true;6;0;
MyWishPlatform/bnb-swap/bnb-swap;2019-04-19T12:12:05Z;0.4.21;true;true;true;true;false;;;
Younusms/learning-solidity/tutorial-22;2019-04-25T06:37:47Z;^0.4.17;true;;true;false;;;;
Younusms/learning-solidity/tutorial-26;2019-04-25T06:37:47Z;^0.4.17;true;;true;true;true;6;0;
quadnetwork/evm-storage-proofs/packages/evm;2019-01-04T17:29:20Z;^0.4.24;true;true;false;;;;;
X20Network/x20-auction-contract;2019-01-21T18:18:52Z;^0.4.24;true;;true;false;;;;
goosecoid/demo;2019-04-17T05:18:23Z;^0.5.7;true;true;false;;;;;
zero1ne/cheezewizards;2019-05-20T17:17:12Z;0.5.6;true;true;false;;;;;
emergenetwork/zb_game_mode;2019-01-04T02:07:45Z;0.4.24;true;true;true;true;true;10;1;
emergenetwork/erc721x;2019-01-04T02:13:31Z;0.4.24;true;true;true;true;true;16;5;
manishk1206/Eth-Splitter;2019-05-19T05:47:24Z;^0.5.0;true;;true;true;false;;;
METADIUM/MetaResolvers;2019-07-15T11:55:23Z;^0.5.0;true;true;true;true;true;67;0;
boyuanx/B9Lab_Splitter;2019-07-15T15:56:53Z;^0.5.0;true;false;true;true;true;5;1;
zero1ne/cryptokitties;2019-04-29T16:46:06Z;^0.4.11;true;true;true;true;false;;;
myctico/myct-smart-contract;2019-05-17T11:27:35Z;0.5.0;true;true;true;false;;;;
berkerol/lottery;2019-06-27T14:16:53Z;^0.5.0;true;true;true;true;true;0;1;
tradestars-app/tradestars-cards;2019-06-20T23:17:05Z;^0.5.0;true;true;true;false;;;;
carlos-buendia/solidity-cron;2019-07-12T12:10:29Z;0.4.25;true;true;false;;;;;
dev-bootcamp-2019/final-project-nicholashc/truffle;2019-01-28T09:33:58Z;^0.5.0;true;;true;true;true;9;0;
tradestars-app/tradestars-token;2019-06-21T02:50:05Z;^0.5.0;true;true;true;false;;;;
abcoathup/king;2019-05-02T22:06:49Z;0.4.24;true;false;true;true;true;5;0;
HAECHI-LABS/vvisp-klaytn-sample;2019-06-25T06:34:22Z;^0.4.24;true;true;true;true;true;2;0;
hilmarx/splitter;2019-06-07T21:14:38Z;0.4.21;true;;true;true;true;4;0;
jordanonuma/zCryptoZombies_r2/zb_game_mode-master;2019-04-27T20:31:53Z;0.4.24;true;true;false;;;;;
MyWishPlatform/swaps;2019-04-17T14:06:08Z;0.4.21;true;true;true;true;true;18;0;
kauri-io/Workshop-Test;2019-05-24T07:32:56Z;^0.5.0;true;true;true;true;true;2;0;
OEnergyGroup/Oil-T;2019-06-13T05:50:23Z;0.5.0;true;true;true;false;;;;
arc-one/etherhedge;2019-05-29T06:31:56Z;^0.5.0;true;;true;true;true;29;1;
Onther-Tech/minime;2019-06-26T03:11:55Z;^0.5.0;true;false;true;true;true;8;0;
abcoathup/button;2019-05-02T21:22:50Z;0.4.24;true;false;true;true;true;2;0;
BrianLudlam/block-racer;2019-07-02T01:02:35Z;0.4.21;true;;false;;;;;
AutarkLabs/aragon-storage;2019-07-03T18:32:03Z;^0.4.24;true;true;false;;;;;
RyanHendricks/solidity-poker-chips;2019-03-13T04:25:08Z;^0.5.0;true;true;true;true;true;3;0;
peizihui/auditable-blindCA-ecc-tracer;2019-05-23T12:42:45Z;^0.4.18;true;;false;;;;;
alexandriapawlik/fileVerificationContracts;2019-07-10T13:07:52Z;^0.4.24;true;false;true;true;false;;;
certicol/provable-domain;2019-07-14T16:04:46Z;0.5.3;true;true;true;false;;;;
coineru/coineru-coins;2019-01-16T17:17:51Z;^0.4.24;true;true;false;;;;;
abcoathup/ponyBadges;2019-05-02T22:32:49Z;0.4.24;true;false;true;true;true;4;0;
moldcoin/moldex-contract;2019-06-28T13:43:06Z;^0.4.24;true;false;false;;;;;
AsureNetwork/crowdsale/packages/crowdsale;2019-07-08T13:46:19Z;^0.5.0;true;true;false;;;;;
BrianLudlam/nft-entity;2019-07-02T00:59:23Z;0.4.21;true;;false;;;;;
madelacruzs/B9Lab-1-Splitter;2019-07-11T04:47:47Z;^0.5.0;true;;true;true;false;;;
lukedonato/splitter;2019-07-12T16:29:43Z;^0.5.0;true;;false;;;;;
